OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.27	0.46	0.21	0.15	12.76	28.73	15.03	8.19	5.87	2.24	3.58	8.03	22.63	16.78	1.04	0.35	0.83	2.28	0.72
0.27	0.45	0.22	0.14	11.67	30.14	13.34	6.70	5.27	2.22	4.45	6.16	26.96	9.12	1.06	0.45	0.65	2.77	0.37
0.29	0.46	0.24	0.16	9.66	22.54	10.86	6.83	6.02	2.03	3.16	8.02	19.02	8.42	0.84	0.30	0.82	1.90	0.33
0.27	0.47	0.20	0.16	11.75	24.61	13.34	8.01	5.82	2.43	3.30	8.50	21.54	13.67	0.97	0.31	0.86	2.11	0.60
0.31	0.49	0.25	0.17	9.21	19.52	11.32	5.58	4.78	2.16	3.07	6.96	18.24	8.55	0.76	0.28	0.68	1.74	0.34
0.27	0.45	0.23	0.12	14.58	39.15	17.14	9.54	5.83	2.18	3.56	9.92	36.28	8.56	1.39	0.36	1.05	3.79	0.34
0.27	0.45	0.23	0.13	12.81	34.14	14.30	6.84	5.19	2.17	3.63	6.78	26.58	14.27	1.09	0.36	0.71	2.71	0.58
0.29	0.46	0.27	0.15	12.13	29.61	15.76	7.99	6.00	2.25	3.63	6.72	29.01	9.16	1.10	0.36	0.70	2.98	0.36
0.31	0.49	0.26	0.18	9.10	22.40	10.22	5.99	4.69	2.16	3.43	6.31	18.07	8.59	0.76	0.33	0.63	1.75	0.34
0.26	0.46	0.18	0.14	13.11	37.29	15.53	7.04	6.13	2.45	3.32	8.35	28.99	11.79	1.16	0.32	0.86	2.95	0.52
0.27	0.45	0.23	0.13	13.76	42.66	15.26	7.95	5.48	2.23	3.33	7.94	34.23	9.52	1.26	0.33	0.83	3.51	0.39
0.31	0.49	0.24	0.19	9.80	27.96	11.21	5.53	4.75	1.85	2.66	6.35	21.23	8.98	0.82	0.24	0.63	2.05	0.37
0.28	0.46	0.23	0.15	12.30	33.48	13.08	7.86	6.16	2.01	3.53	8.08	27.19	10.41	1.07	0.34	0.82	2.67	0.43
0.28	0.48	0.23	0.14	13.69	38.41	18.06	8.07	6.18	2.29	3.31	8.42	33.32	9.72	1.21	0.32	0.85	3.30	0.39
0.29	0.46	0.23	0.17	9.85	15.88	12.70	6.82	4.96	2.07	4.08	5.99	17.52	11.82	0.82	0.40	0.63	1.77	0.48
0.31	0.48	0.27	0.17	12.09	32.90	15.13	7.68	6.10	1.88	3.70	8.53	25.58	10.54	1.03	0.35	0.85	2.50	0.41
0.27	0.47	0.17	0.17	18.44	47.70	20.84	10.92	8.55	2.38	3.71	17.24	34.47	18.36	1.60	0.36	1.76	3.48	0.82
0.34	0.50	0.31	0.20	6.67	12.86	7.83	4.75	4.30	2.07	2.97	4.71	13.82	5.20	0.56	0.27	0.46	1.31	0.19
0.26	0.45	0.19	0.12	23.97	50.50	29.26	14.66	12.51	2.78	3.28	23.68	39.01	29.92	2.04	0.32	2.51	4.07	1.26
0.29	0.48	0.22	0.17	11.57	27.38	11.53	9.63	6.47	2.42	3.18	11.14	21.61	10.36	0.99	0.30	1.12	2.12	0.44
0.23	0.43	0.17	0.10	17.03	46.24	20.47	10.08	7.87	2.21	4.22	10.89	36.76	16.23	1.58	0.44	1.19	3.96	0.73
0.29	0.47	0.21	0.17	13.91	31.80	14.33	8.11	7.83	2.08	2.81	11.45	19.22	22.18	1.05	0.26	1.13	1.86	0.94
0.30	0.48	0.27	0.17	10.00	20.41	15.43	6.51	4.83	2.05	3.40	5.76	23.16	7.70	0.88	0.33	0.58	2.30	0.30
0.27	0.45	0.21	0.14	14.36	40.01	14.84	9.17	7.78	2.01	3.64	13.71	24.91	15.16	1.27	0.37	1.46	2.62	0.63
0.25	0.46	0.17	0.14	16.81	36.97	20.17	9.68	8.93	2.71	3.62	13.90	32.09	17.64	1.46	0.36	1.45	3.28	0.78
0.26	0.45	0.22	0.11	12.55	29.06	14.86	8.23	5.99	2.04	3.14	9.89	25.46	11.72	1.12	0.33	1.05	2.63	0.48
0.31	0.48	0.27	0.17	9.50	19.67	11.15	6.06	4.97	1.99	3.23	4.84	21.23	8.70	0.80	0.31	0.48	2.09	0.34
0.27	0.46	0.20	0.17	9.50	17.28	10.35	6.90	5.92	2.37	3.51	7.60	15.75	11.14	0.81	0.35	0.78	1.60	0.50
0.30	0.47	0.24	0.18	10.13	16.89	13.87	7.20	5.14	2.27	3.17	7.31	18.74	11.32	0.84	0.30	0.74	1.86	0.44
0.28	0.47	0.21	0.15	14.57	43.41	15.50	7.61	6.22	2.16	3.45	8.13	30.20	16.48	1.23	0.33	0.84	3.05	0.70
0.28	0.46	0.23	0.16	11.03	28.69	11.91	6.17	6.03	2.11	3.18	6.59	22.51	11.85	0.94	0.31	0.69	2.28	0.48
0.29	0.47	0.26	0.15	12.90	43.94	14.75	6.83	4.81	2.32	2.97	5.94	31.33	11.37	1.11	0.28	0.60	3.09	0.45
0.26	0.45	0.20	0.14	12.03	34.05	13.62	7.09	5.75	2.22	3.56	9.73	24.89	9.96	1.09	0.36	1.01	2.55	0.43
0.26	0.45	0.20	0.13	18.92	53.72	21.68	10.39	8.39	2.53	3.26	11.74	35.83	24.84	1.56	0.33	1.22	3.66	1.01
0.27	0.46	0.19	0.15	22.77	93.95	16.96	8.46	6.39	2.30	3.75	10.11	57.44	19.77	2.03	0.37	1.04	5.85	0.84
0.26	0.45	0.19	0.14	12.78	32.23	12.76	7.35	6.38	2.22	3.26	7.98	22.58	17.28	1.05	0.33	0.83	2.31	0.74
0.26	0.46	0.18	0.14	16.45	74.71	16.16	7.98	6.33	2.25	3.13	10.73	36.78	15.18	1.47	0.31	1.13	3.77	0.66
0.29	0.48	0.24	0.17	11.59	24.71	13.70	6.92	5.90	2.32	2.96	6.55	20.09	16.77	0.90	0.29	0.66	1.97	0.68
0.30	0.48	0.23	0.19	12.78	27.08	15.29	8.00	6.14	2.24	3.40	11.58	21.17	14.98	1.03	0.32	1.16	2.05	0.61
0.28	0.48	0.19	0.17	13.57	24.92	17.53	8.85	6.31	2.22	3.27	10.46	21.31	19.24	1.07	0.31	1.04	2.09	0.86
0.27	0.45	0.20	0.16	12.83	31.10	13.55	7.77	7.34	2.29	3.80	9.86	20.92	16.75	1.07	0.38	1.03	2.16	0.72
0.27	0.46	0.21	0.14	13.61	32.06	13.70	8.99	6.53	2.37	3.49	9.90	23.11	17.92	1.11	0.35	1.02	2.33	0.75
0.33	0.50	0.28	0.21	7.92	13.54	9.21	6.59	4.54	2.14	2.81	5.30	15.18	8.41	0.62	0.26	0.49	1.42	0.33
0.27	0.45	0.23	0.14	10.70	28.24	13.78	7.25	5.30	2.20	3.88	5.67	24.88	8.35	0.97	0.39	0.60	2.56	0.34
0.30	0.48	0.24	0.17	11.71	32.29	13.43	7.37	6.64	2.17	3.34	10.43	23.95	9.12	1.02	0.32	1.04	2.33	0.37
0.31	0.48	0.29	0.17	12.00	30.19	15.78	6.39	4.30	2.34	3.01	5.70	28.47	10.83	1.02	0.29	0.57	2.81	0.40
0.28	0.46	0.20	0.19	15.56	28.83	18.48	9.28	6.47	2.52	3.79	12.41	21.95	24.09	1.21	0.36	1.26	2.19	1.02
0.30	0.48	0.23	0.18	11.75	29.81	11.98	7.16	6.06	2.21	3.38	8.80	22.06	12.77	0.96	0.31	0.87	2.13	0.52
0.30	0.48	0.24	0.17	11.78	28.25	14.72	7.91	5.25	2.01	3.09	7.41	25.97	10.63	1.01	0.30	0.75	2.57	0.43
0.32	0.50	0.26	0.19	8.01	13.78	10.42	5.83	4.73	1.81	2.54	5.69	16.01	7.79	0.65	0.24	0.55	1.52	0.30
0.24	0.43	0.17	0.13	17.43	33.13	17.45	10.44	7.56	2.35	3.67	10.59	21.23	34.24	1.31	0.37	1.13	2.23	1.53
0.31	0.48	0.23	0.20	11.76	22.70	13.27	8.88	6.11	2.21	3.35	9.42	20.98	13.31	0.96	0.31	0.93	2.05	0.54
0.30	0.47	0.27	0.15	8.96	21.62	11.17	6.10	5.07	1.91	2.96	4.86	20.33	7.69	0.77	0.29	0.50	2.01	0.29
0.24	0.44	0.15	0.13	17.33	43.47	19.85	9.08	6.93	2.93	3.50	11.95	28.55	25.32	1.43	0.34	1.26	2.96	1.16
0.26	0.44	0.21	0.12	12.09	29.18	13.72	7.43	5.95	2.39	4.12	7.40	23.99	12.86	1.05	0.41	0.78	2.47	0.53
0.26	0.45	0.18	0.15	12.62	33.59	15.20	8.76	6.99	2.21	3.57	9.69	26.25	10.94	1.12	0.35	0.99	2.65	0.48
0.24	0.45	0.16	0.12	22.68	72.81	24.26	12.16	8.46	2.29	3.53	18.11	46.14	22.95	2.01	0.36	1.90	4.77	1.03
0.29	0.46	0.24	0.17	13.54	32.08	15.16	8.27	6.01	2.38	3.66	8.63	25.49	16.36	1.11	0.35	0.88	2.54	0.67
0.27	0.46	0.18	0.16	10.57	19.72	10.85	7.34	5.52	2.39	3.17	8.27	16.16	14.68	0.86	0.31	0.86	1.62	0.64
0.29	0.47	0.23	0.16	11.48	28.03	11.30	8.00	5.45	2.28	3.82	8.66	21.56	11.89	0.96	0.36	0.87	2.12	0.48
0.33	0.49	0.30	0.19	8.16	19.56	8.35	5.15	4.52	2.22	2.52	4.85	16.85	8.42	0.65	0.23	0.47	1.58	0.31
0.29	0.48	0.24	0.16	8.82	20.93	9.72	5.26	4.68	1.98	3.15	5.96	17.45	8.73	0.74	0.30	0.60	1.72	0.35
0.28	0.45	0.23	0.16	13.41	30.30	13.45	9.02	6.43	2.33	3.53	10.05	25.37	14.68	1.13	0.35	1.03	2.54	0.59
0.25	0.45	0.15	0.14	19.58	48.93	18.95	9.29	8.56	2.50	3.83	14.40	30.79	29.29	1.61	0.39	1.51	3.20	1.34
0.32	0.48	0.28	0.19	9.02	19.17	9.46	6.27	4.75	2.15	3.11	7.43	16.30	9.25	0.74	0.29	0.73	1.57	0.36
0.32	0.49	0.27	0.19	9.34	23.22	11.25	5.56	4.37	2.15	2.82	6.53	21.49	6.51	0.79	0.25	0.64	2.04	0.24
0.31	0.48	0.26	0.19	7.93	12.36	10.56	5.19	4.46	1.84	3.02	6.17	14.21	8.32	0.64	0.28	0.60	1.35	0.33
