mean_idle_time	mean_idle_time-Attendant	mean_idle_time-Nurse	mean_idle_time-Doctor	mean_waiting_time	mean_waiting_time-1	mean_waiting_time-2	mean_waiting_time-3	mean_waiting_time-4	mean_waiting_time-5	mean_waiting_time-register_queue	mean_waiting_time-screening_queue	mean_waiting_time-consultation_queue	mean_waiting_time-exams_queue	mean_queue_len	mean_queue_len-register_queue	mean_queue_len-screening_queue	mean_queue_len-consultation_queue	mean_queue_len-exams_queue	max_waiting_time	max_waiting_time-1	max_waiting_time-2	max_waiting_time-3	max_waiting_time-4	max_waiting_time-5	max_waiting_time-register_queue	max_waiting_time-screening_queue	max_waiting_time-consultation_queue	max_waiting_time-exams_queue	max_queue_len	max_queue_len-register_queue	max_queue_len-screening_queue	max_queue_len-consultation_queue	max_queue_len-exams_queue
0.58	0.45	0.61	0.57	4.80	4.74	7.17	4.64	3.56	3.13	4.19	0.16	0.38	0.27	0.12	0.43	0.01	0.04	0.01	148.58	45.92	148.58	69.85	29.44	19.51	148.58	21.98	13.71	18.37	7	7	3	2	2
0.59	0.47	0.62	0.58	4.35	7.01	5.56	4.61	2.76	2.54	3.64	0.27	0.44	0.17	0.11	0.36	0.02	0.04	0.01	75.12	68.24	75.12	61.99	20.40	13.53	75.12	24.61	12.28	14.97	6	6	3	2	2
0.60	0.49	0.63	0.59	3.40	3.74	3.94	3.44	2.73	3.05	3.01	0.06	0.34	0.04	0.08	0.29	0.00	0.03	0.00	39.33	30.44	39.33	36.59	25.04	24.01	39.33	12.17	14.96	3.87	5	5	2	2	1
0.58	0.46	0.61	0.58	4.24	6.36	4.95	4.13	3.37	3.00	3.55	0.20	0.45	0.23	0.11	0.36	0.02	0.05	0.01	72.99	72.99	61.23	42.56	32.17	21.93	72.99	30.83	13.15	16.74	5	5	3	2	2
0.56	0.44	0.60	0.55	5.11	9.62	6.75	4.14	3.59	3.36	4.39	0.22	0.50	0.13	0.13	0.46	0.02	0.05	0.01	109.86	109.86	62.09	57.25	33.36	29.66	109.86	20.39	20.48	12.46	7	7	3	3	2
0.57	0.45	0.61	0.56	4.35	7.19	5.14	4.14	3.28	2.97	3.52	0.23	0.54	0.27	0.11	0.37	0.02	0.06	0.01	75.65	75.65	74.90	60.42	29.66	18.51	75.65	29.66	26.94	18.51	7	7	3	4	2
0.57	0.44	0.60	0.57	4.67	5.83	5.81	4.30	4.11	3.57	3.77	0.30	0.51	0.33	0.12	0.39	0.03	0.05	0.01	94.96	54.15	94.96	38.92	22.97	28.52	94.96	24.82	17.81	12.55	6	6	3	3	2
0.58	0.46	0.61	0.57	4.21	6.93	5.05	3.95	3.00	3.02	3.51	0.27	0.39	0.24	0.11	0.35	0.02	0.04	0.01	60.35	54.24	55.75	60.35	25.73	27.75	60.35	21.07	13.83	12.48	6	6	3	3	2
0.59	0.48	0.61	0.59	4.25	5.24	5.06	4.61	3.37	3.08	3.06	0.68	0.47	0.50	0.10	0.30	0.05	0.05	0.02	69.49	30.69	56.44	69.49	33.96	54.37	69.49	44.21	30.25	25.70	6	6	6	3	3
0.58	0.47	0.61	0.59	4.46	5.69	5.61	4.47	3.32	2.88	3.85	0.22	0.36	0.19	0.11	0.38	0.02	0.03	0.01	104.91	43.44	104.91	51.28	24.05	17.37	104.91	24.05	13.00	9.82	6	6	4	3	2
0.57	0.44	0.61	0.57	4.75	5.73	5.50	4.92	4.78	3.00	3.94	0.33	0.46	0.24	0.12	0.41	0.03	0.05	0.01	130.66	55.30	85.76	130.66	100.25	32.08	130.66	29.08	29.82	16.55	7	7	4	3	2
0.60	0.49	0.63	0.60	4.15	3.87	4.66	5.01	3.55	2.72	3.35	0.33	0.46	0.19	0.10	0.32	0.03	0.04	0.01	108.58	24.78	83.25	108.58	32.62	36.04	108.58	19.74	24.87	10.92	7	7	3	3	2
0.58	0.46	0.61	0.58	4.16	5.47	4.84	4.40	3.55	2.55	3.65	0.11	0.35	0.18	0.11	0.37	0.01	0.04	0.01	99.07	69.93	63.26	99.07	33.05	21.54	99.07	11.32	12.81	11.34	6	6	2	3	2
0.58	0.48	0.60	0.59	3.42	5.68	4.32	2.94	2.73	2.43	2.85	0.18	0.34	0.22	0.08	0.28	0.01	0.03	0.01	54.85	54.85	44.96	38.49	19.22	12.92	54.85	22.32	12.16	11.75	5	5	2	2	2
0.58	0.47	0.61	0.57	4.87	10.24	5.78	4.05	3.18	3.18	4.00	0.37	0.47	0.28	0.12	0.40	0.03	0.05	0.01	106.88	102.63	106.88	55.77	41.32	39.39	106.88	38.42	17.27	17.24	7	7	6	4	2
0.58	0.45	0.61	0.58	3.31	4.47	4.05	3.33	2.32	2.45	2.82	0.12	0.34	0.16	0.08	0.29	0.01	0.03	0.01	52.13	39.52	52.13	33.45	16.50	16.11	52.13	11.65	19.10	19.90	5	5	2	2	2
0.59	0.47	0.62	0.58	4.51	6.03	5.08	5.35	3.19	2.85	3.73	0.22	0.49	0.31	0.11	0.37	0.02	0.05	0.01	59.90	44.08	48.85	59.90	42.34	23.79	59.90	19.61	13.06	29.34	6	6	2	2	3
0.60	0.49	0.63	0.59	3.55	4.06	4.97	3.00	2.58	3.13	3.01	0.08	0.39	0.23	0.09	0.29	0.01	0.04	0.01	99.00	31.75	99.00	26.57	16.91	30.37	99.00	13.22	17.22	17.03	5	5	2	2	3
0.58	0.47	0.61	0.57	4.90	6.11	6.27	5.15	4.15	2.79	4.15	0.19	0.48	0.25	0.12	0.42	0.02	0.05	0.01	90.82	46.87	71.32	90.82	37.64	26.66	90.82	16.63	28.73	26.15	7	7	2	3	2
0.58	0.47	0.62	0.57	4.44	8.00	6.02	3.57	2.75	3.22	3.52	0.30	0.55	0.34	0.11	0.35	0.02	0.06	0.01	94.99	86.90	94.99	40.62	19.95	17.69	94.99	26.93	19.57	13.65	8	8	3	3	2
0.57	0.45	0.59	0.57	4.52	5.77	6.16	4.54	2.68	2.96	3.57	0.39	0.50	0.32	0.12	0.37	0.03	0.05	0.01	69.42	47.36	69.42	62.96	19.26	21.98	69.42	21.93	28.71	13.51	6	6	3	4	2
0.56	0.46	0.59	0.57	4.30	5.62	5.21	4.17	3.67	3.10	3.32	0.42	0.49	0.38	0.11	0.34	0.03	0.05	0.02	115.08	43.45	115.08	57.65	30.91	23.78	115.08	25.95	22.35	15.41	7	7	3	3	2
0.58	0.48	0.59	0.59	4.24	7.33	4.54	4.55	2.95	2.70	3.09	0.54	0.54	0.43	0.10	0.30	0.04	0.05	0.02	52.76	52.76	43.20	40.89	34.17	24.24	45.57	52.76	22.78	21.67	5	5	3	3	3
0.57	0.49	0.60	0.58	3.58	4.23	4.56	3.32	3.03	2.86	2.84	0.20	0.47	0.27	0.09	0.28	0.02	0.05	0.01	56.73	35.76	56.73	26.92	21.54	17.70	56.73	21.42	17.38	14.94	5	5	3	3	2
0.57	0.44	0.60	0.57	5.18	6.39	7.42	4.10	4.68	3.73	4.32	0.29	0.53	0.26	0.13	0.44	0.02	0.05	0.01	90.82	63.12	90.82	73.13	41.93	48.20	90.82	34.24	41.93	17.78	7	7	5	5	2
0.57	0.45	0.60	0.58	5.38	8.66	6.13	5.30	5.02	3.50	4.61	0.30	0.48	0.16	0.14	0.46	0.02	0.05	0.01	155.00	75.85	155.00	112.25	83.23	31.30	155.00	25.57	16.32	12.43	11	11	3	2	2
0.57	0.44	0.60	0.57	4.23	5.57	4.59	4.50	3.03	3.62	3.51	0.18	0.45	0.33	0.11	0.36	0.01	0.05	0.01	82.47	49.72	82.47	76.73	53.39	30.75	82.47	23.55	30.75	18.61	8	8	3	4	3
0.59	0.47	0.62	0.58	4.11	5.99	4.79	3.99	3.44	3.07	3.39	0.23	0.47	0.18	0.10	0.34	0.02	0.05	0.01	66.51	64.53	66.51	51.89	21.75	29.50	66.51	19.13	24.20	19.58	7	7	4	3	2
0.60	0.48	0.64	0.59	3.64	4.90	4.29	3.26	2.57	3.28	2.93	0.27	0.41	0.23	0.09	0.29	0.02	0.04	0.01	57.97	35.16	57.97	33.03	19.68	18.89	57.97	31.79	17.73	16.73	4	4	4	3	2
0.58	0.47	0.60	0.58	3.53	3.89	3.71	3.87	3.16	2.93	2.84	0.21	0.43	0.21	0.09	0.28	0.02	0.04	0.01	46.28	46.28	38.42	27.23	42.93	23.11	46.28	13.42	16.28	8.97	4	4	2	3	1
0.59	0.48	0.61	0.60	3.87	4.67	4.72	3.79	3.45	2.82	3.00	0.39	0.42	0.35	0.09	0.29	0.03	0.04	0.01	70.60	29.97	70.60	25.22	23.65	24.62	70.60	25.22	11.48	14.70	5	5	4	2	2
0.55	0.45	0.58	0.56	3.93	6.27	4.18	3.78	3.44	2.93	3.28	0.20	0.38	0.26	0.10	0.34	0.02	0.04	0.01	56.31	56.31	43.71	45.19	39.18	19.95	56.31	17.70	10.03	11.72	5	5	2	2	2
0.59	0.47	0.63	0.58	4.39	5.43	5.88	3.96	3.30	3.58	3.73	0.16	0.45	0.24	0.11	0.37	0.01	0.04	0.01	103.72	39.27	103.72	32.59	29.00	25.77	103.72	13.21	31.86	11.28	6	6	2	3	1
0.57	0.46	0.60	0.57	4.23	5.12	5.20	4.79	3.01	2.85	3.50	0.20	0.39	0.13	0.11	0.37	0.02	0.04	0.01	87.54	40.73	87.54	54.26	18.71	28.54	87.54	21.91	20.51	7.96	8	8	3	3	2
0.57	0.44	0.60	0.57	4.87	4.14	6.92	5.47	3.52	2.92	3.92	0.40	0.53	0.20	0.13	0.41	0.03	0.05	0.01	102.75	36.72	102.75	85.81	19.86	24.02	102.75	29.22	38.06	13.09	7	7	5	5	2
0.56	0.46	0.59	0.56	4.27	6.38	5.22	4.05	4.17	2.76	3.57	0.32	0.36	0.21	0.11	0.37	0.03	0.04	0.01	65.61	65.61	52.85	58.53	42.19	26.52	65.61	33.86	14.13	10.70	6	6	3	3	2
0.58	0.45	0.61	0.57	3.84	5.49	4.15	4.06	3.09	2.82	3.26	0.13	0.42	0.16	0.10	0.33	0.01	0.04	0.01	73.75	40.89	73.75	49.34	21.85	33.54	73.75	14.05	12.78	9.81	5	5	2	2	1
0.59	0.47	0.62	0.58	3.89	5.57	4.34	4.21	2.92	2.75	3.24	0.22	0.41	0.19	0.10	0.32	0.02	0.04	0.01	78.38	73.14	78.38	67.06	28.49	20.51	78.38	31.37	18.40	10.68	7	7	3	3	2
0.58	0.47	0.61	0.58	4.41	4.96	5.82	3.93	4.24	3.18	3.64	0.33	0.45	0.16	0.11	0.36	0.03	0.04	0.01	105.78	28.03	105.78	71.02	26.25	20.19	105.78	27.67	15.70	8.80	9	9	5	2	1
0.57	0.45	0.61	0.56	4.69	7.39	5.38	4.96	3.56	2.86	4.12	0.16	0.37	0.20	0.12	0.42	0.01	0.04	0.01	81.07	81.07	56.63	50.73	26.78	37.91	81.07	22.78	10.07	11.62	7	7	3	3	2
0.58	0.46	0.61	0.58	4.20	5.39	5.42	4.02	3.89	2.65	3.42	0.25	0.46	0.31	0.11	0.35	0.02	0.05	0.01	61.63	57.16	58.49	61.63	29.32	20.60	61.63	25.58	12.36	37.69	6	6	3	2	3
0.60	0.48	0.63	0.60	3.98	4.87	5.05	3.92	3.06	2.82	3.44	0.12	0.41	0.08	0.10	0.34	0.01	0.04	0.00	73.23	39.90	73.23	49.93	34.79	34.00	73.23	20.09	23.05	6.51	6	6	2	3	2
0.57	0.47	0.60	0.58	3.84	4.68	4.42	3.44	3.94	3.06	3.02	0.23	0.53	0.28	0.10	0.30	0.02	0.05	0.01	65.91	35.07	65.91	51.30	45.47	25.74	65.91	25.94	20.56	11.57	5	5	4	3	2
0.57	0.47	0.60	0.58	3.70	5.45	3.60	3.72	3.29	3.08	3.16	0.14	0.39	0.11	0.09	0.32	0.01	0.04	0.00	72.16	72.16	32.45	52.49	30.93	27.07	72.16	20.77	15.01	11.42	5	5	2	3	2
0.57	0.44	0.61	0.56	4.48	5.43	4.86	4.94	3.80	3.33	3.60	0.36	0.49	0.25	0.12	0.37	0.03	0.05	0.01	77.20	34.45	62.46	77.20	31.16	37.28	77.20	41.17	18.16	12.65	5	5	4	3	2
0.58	0.47	0.62	0.57	4.17	5.29	4.94	3.86	3.87	3.27	3.35	0.28	0.48	0.29	0.10	0.33	0.02	0.05	0.01	91.98	39.72	53.61	91.98	25.51	43.26	91.98	27.08	13.67	12.50	6	6	3	2	3
0.56	0.46	0.59	0.55	4.72	6.64	6.04	4.45	3.79	3.10	3.87	0.23	0.58	0.22	0.12	0.40	0.02	0.06	0.01	107.91	107.91	107.41	53.56	23.46	28.27	107.91	19.92	17.17	15.15	7	7	3	3	2
0.58	0.46	0.62	0.56	4.28	5.59	6.17	3.52	2.93	3.45	3.58	0.17	0.49	0.19	0.11	0.37	0.01	0.05	0.01	137.80	67.45	137.80	39.47	23.07	49.15	137.80	20.37	14.58	12.49	7	7	2	2	2
0.56	0.45	0.59	0.56	4.49	6.41	5.37	4.38	3.45	3.20	3.57	0.35	0.54	0.23	0.12	0.37	0.03	0.06	0.01	84.13	84.13	57.77	46.37	38.04	26.29	84.13	36.23	42.80	13.37	6	6	5	4	2
0.58	0.47	0.60	0.58	4.04	5.57	5.13	3.63	2.66	3.39	3.49	0.14	0.38	0.14	0.10	0.35	0.01	0.04	0.01	67.73	66.25	63.76	31.00	19.34	67.73	67.73	18.88	12.27	6.98	6	6	2	2	1
0.56	0.45	0.59	0.57	5.38	7.53	6.57	5.23	4.12	3.75	4.31	0.44	0.58	0.32	0.14	0.44	0.04	0.06	0.01	181.88	109.00	181.88	137.45	35.33	41.77	181.88	24.14	25.28	19.16	8	8	3	4	3
0.58	0.46	0.61	0.58	3.85	6.03	4.92	3.56	2.49	2.73	3.23	0.19	0.41	0.16	0.10	0.32	0.02	0.04	0.01	50.49	50.49	49.24	48.88	24.99	14.20	50.49	20.09	16.04	14.20	5	5	3	3	1
0.57	0.46	0.60	0.57	4.27	6.91	4.13	5.07	3.07	2.92	3.42	0.35	0.48	0.26	0.11	0.35	0.03	0.05	0.01	89.56	44.76	89.56	76.75	24.09	32.42	89.56	25.06	24.43	10.62	7	7	3	4	2
0.57	0.44	0.60	0.57	4.54	6.59	5.14	5.27	2.52	2.83	3.70	0.31	0.47	0.31	0.12	0.39	0.03	0.05	0.01	92.08	69.21	92.08	59.83	22.71	26.79	92.08	31.39	14.66	17.18	8	8	3	3	2
0.58	0.47	0.59	0.59	3.80	4.38	4.48	3.77	3.34	2.94	3.08	0.25	0.43	0.22	0.09	0.31	0.02	0.04	0.01	52.88	52.88	30.49	50.53	36.44	22.51	52.88	35.97	19.34	9.53	5	5	3	3	2
0.61	0.48	0.65	0.60	3.38	5.79	3.90	3.10	2.92	2.29	2.76	0.31	0.29	0.22	0.08	0.26	0.02	0.03	0.01	69.14	69.14	37.94	43.26	20.87	33.70	69.14	23.87	9.37	19.48	5	5	4	2	2
0.60	0.50	0.63	0.60	3.46	5.71	3.97	2.99	2.53	3.06	2.87	0.19	0.31	0.33	0.08	0.27	0.01	0.03	0.01	73.89	73.89	47.15	46.11	23.95	48.51	73.89	16.28	8.85	16.66	6	6	3	3	3
0.60	0.49	0.63	0.59	3.54	5.55	3.70	3.82	2.64	2.52	2.91	0.15	0.44	0.20	0.09	0.28	0.01	0.04	0.01	68.38	68.38	60.80	55.27	25.94	20.82	68.38	13.43	27.04	16.70	6	6	2	4	2
0.59	0.48	0.63	0.58	3.93	6.75	3.84	4.22	2.82	3.27	3.27	0.13	0.49	0.18	0.10	0.32	0.01	0.05	0.01	87.28	52.26	42.62	87.28	21.09	25.29	87.28	21.09	25.29	11.10	7	7	3	3	1
0.61	0.50	0.64	0.61	3.32	4.08	4.03	3.38	2.81	2.36	2.62	0.31	0.41	0.13	0.08	0.24	0.02	0.04	0.00	44.30	30.59	44.30	40.23	20.71	13.65	44.30	36.73	21.58	12.23	6	6	5	4	1
0.59	0.47	0.63	0.57	3.86	6.00	5.00	3.35	3.14	2.75	3.17	0.16	0.51	0.15	0.10	0.31	0.01	0.05	0.01	62.86	53.90	62.86	27.50	26.24	16.54	62.86	17.71	21.29	11.77	5	5	2	2	2
0.58	0.49	0.61	0.58	4.34	5.63	6.23	3.59	3.23	3.63	3.57	0.21	0.51	0.22	0.11	0.35	0.02	0.05	0.01	80.12	64.56	80.12	35.23	38.01	48.03	80.12	16.47	24.50	8.77	7	7	3	3	2
0.57	0.45	0.60	0.55	4.92	6.45	6.18	4.98	3.37	3.51	4.10	0.26	0.47	0.35	0.13	0.42	0.02	0.05	0.01	92.11	50.81	92.11	47.63	30.52	41.38	92.11	30.65	17.13	13.93	7	7	3	2	2
0.59	0.47	0.63	0.59	3.58	3.68	4.43	3.78	2.95	2.59	3.00	0.22	0.35	0.15	0.09	0.30	0.02	0.03	0.01	65.43	35.85	65.43	44.11	23.88	18.20	65.43	21.60	10.55	18.20	5	5	4	3	1
0.57	0.44	0.60	0.57	4.48	6.61	5.31	4.71	3.13	2.91	3.72	0.29	0.41	0.30	0.12	0.39	0.02	0.04	0.01	69.40	66.65	53.26	69.40	20.85	22.11	69.40	32.69	16.15	17.21	7	7	3	3	2
0.57	0.48	0.60	0.58	4.00	6.56	3.98	4.09	3.60	2.97	3.35	0.19	0.43	0.16	0.10	0.33	0.02	0.04	0.01	90.54	90.54	80.70	51.80	20.81	26.31	90.54	19.18	17.33	17.14	6	6	2	2	2
0.59	0.47	0.63	0.58	3.23	3.69	4.07	3.30	2.86	2.15	2.64	0.19	0.41	0.09	0.08	0.26	0.01	0.04	0.00	43.82	43.82	40.99	30.59	38.12	14.72	43.82	27.73	11.50	8.62	4	4	4	3	2
0.60	0.47	0.64	0.58	4.11	5.76	4.66	4.77	2.53	2.91	3.56	0.10	0.42	0.13	0.10	0.35	0.01	0.04	0.00	77.03	77.03	55.80	55.97	24.22	28.08	77.03	11.23	17.13	8.64	8	8	2	3	2
0.62	0.50	0.66	0.61	3.21	3.29	3.41	3.53	3.34	2.41	2.72	0.15	0.35	0.07	0.08	0.25	0.01	0.03	0.00	49.14	26.01	45.87	49.14	23.38	16.75	49.14	16.30	10.50	10.52	5	5	3	2	1
0.57	0.44	0.61	0.56	5.73	9.03	7.72	5.30	3.82	3.44	4.89	0.24	0.54	0.27	0.15	0.52	0.02	0.06	0.01	191.10	151.34	191.10	115.11	64.73	19.89	191.10	29.51	44.48	14.45	11	11	3	3	2
0.60	0.48	0.63	0.58	4.58	5.80	6.06	4.35	4.23	2.90	3.95	0.15	0.43	0.24	0.11	0.39	0.01	0.04	0.01	99.43	82.41	99.43	89.82	73.33	23.05	99.43	18.45	10.82	23.58	9	9	3	2	2
0.58	0.46	0.62	0.57	4.25	6.19	5.75	3.22	3.67	3.06	3.41	0.30	0.52	0.23	0.11	0.35	0.02	0.05	0.01	101.58	48.28	101.58	44.70	34.71	25.13	101.58	27.97	14.39	17.75	6	6	4	3	3
0.57	0.48	0.59	0.59	4.33	7.75	4.96	4.31	2.78	2.73	3.59	0.33	0.35	0.29	0.11	0.35	0.03	0.03	0.01	90.24	90.24	79.28	63.71	16.14	26.58	90.24	18.34	23.13	14.88	6	6	3	2	2
0.58	0.46	0.61	0.58	4.20	6.77	4.71	4.17	3.03	2.86	3.50	0.28	0.40	0.20	0.10	0.35	0.02	0.04	0.01	60.09	56.91	44.39	60.09	21.48	17.66	60.09	43.42	20.55	10.28	6	5	6	3	1
0.55	0.44	0.58	0.54	4.87	8.74	5.69	4.90	3.44	3.12	3.98	0.32	0.54	0.24	0.13	0.43	0.03	0.06	0.01	103.28	92.23	103.28	64.36	28.79	21.82	103.28	25.76	17.52	12.34	6	6	3	3	2
0.55	0.44	0.57	0.55	5.19	8.50	6.55	4.57	3.69	3.60	4.15	0.42	0.54	0.37	0.14	0.44	0.04	0.06	0.02	136.78	136.78	124.21	61.16	25.13	40.23	136.78	32.23	16.69	21.44	7	7	4	3	3
0.59	0.45	0.63	0.57	4.36	6.40	5.72	3.91	3.64	3.12	3.74	0.21	0.37	0.22	0.11	0.38	0.02	0.04	0.01	71.83	71.83	70.47	55.79	43.01	28.71	71.83	16.78	12.83	11.25	7	7	2	2	2
0.58	0.47	0.61	0.57	3.99	6.04	3.63	4.16	4.40	2.84	3.14	0.28	0.50	0.30	0.10	0.32	0.02	0.05	0.01	43.33	41.08	43.33	39.96	34.09	18.16	43.33	36.89	15.93	12.28	6	6	4	3	2
0.60	0.50	0.63	0.60	4.08	6.33	4.52	3.85	3.92	2.89	3.38	0.30	0.38	0.18	0.09	0.31	0.02	0.04	0.01	71.14	66.94	71.14	48.46	36.81	20.16	71.14	32.86	13.57	10.88	7	7	3	4	2
0.57	0.46	0.60	0.57	4.20	5.27	5.64	4.05	3.18	2.99	3.53	0.17	0.42	0.16	0.11	0.37	0.01	0.04	0.01	60.96	42.20	58.50	60.96	40.69	41.67	60.96	14.90	18.39	15.49	6	6	2	3	1
0.60	0.49	0.64	0.60	3.40	5.89	4.18	2.98	2.26	2.87	2.96	0.07	0.33	0.15	0.08	0.28	0.01	0.03	0.01	80.79	80.79	78.99	37.02	20.42	17.41	80.79	11.86	9.44	15.17	6	6	2	2	2
0.59	0.46	0.62	0.58	5.05	7.46	7.30	4.36	3.16	3.45	4.38	0.24	0.42	0.13	0.13	0.44	0.02	0.04	0.01	162.61	146.93	162.61	55.52	21.16	29.81	162.61	25.99	12.75	11.70	10	10	4	3	2
0.58	0.46	0.60	0.59	3.62	4.56	4.73	3.22	3.50	2.55	3.09	0.20	0.33	0.15	0.09	0.31	0.02	0.03	0.01	61.70	35.10	61.70	59.72	32.39	21.91	61.70	28.83	10.92	9.27	6	6	3	3	2
0.57	0.46	0.61	0.57	4.01	4.33	5.33	4.06	3.31	2.75	3.39	0.18	0.41	0.18	0.10	0.34	0.01	0.04	0.01	58.09	51.41	58.09	53.62	22.60	18.20	58.09	21.62	14.17	15.06	5	5	3	2	2
0.56	0.46	0.58	0.57	4.72	6.10	5.35	5.34	2.88	3.52	3.80	0.36	0.45	0.41	0.12	0.39	0.03	0.05	0.02	61.21	57.94	60.44	61.21	22.35	29.07	61.21	33.61	14.90	26.90	7	7	3	3	2
0.59	0.48	0.62	0.59	4.17	6.40	4.78	4.04	3.37	2.84	3.55	0.19	0.38	0.22	0.10	0.35	0.01	0.04	0.01	93.62	82.96	93.62	40.33	25.29	18.99	93.62	28.24	17.58	19.76	5	5	4	3	2
0.61	0.49	0.64	0.59	3.34	3.98	3.57	3.79	2.87	2.48	2.73	0.18	0.35	0.32	0.08	0.26	0.01	0.03	0.01	59.98	30.71	49.75	59.98	29.62	14.89	59.98	30.46	11.46	20.36	6	6	3	3	2
0.55	0.45	0.58	0.55	4.54	5.89	6.12	4.42	3.53	2.79	3.57	0.36	0.51	0.42	0.12	0.37	0.03	0.05	0.02	124.23	52.00	124.23	48.16	18.74	20.90	124.23	49.13	16.47	18.79	6	6	5	3	3
0.60	0.48	0.64	0.59	4.10	4.25	5.96	3.84	3.09	3.08	3.60	0.07	0.38	0.17	0.10	0.35	0.01	0.04	0.01	84.10	53.90	84.10	56.78	30.12	26.27	84.10	11.06	20.25	12.32	6	6	1	3	2
0.56	0.45	0.58	0.57	4.79	8.80	5.59	4.16	3.89	3.61	3.77	0.43	0.50	0.40	0.12	0.38	0.04	0.05	0.02	76.57	73.84	76.57	33.55	39.93	25.37	76.57	29.74	20.64	15.79	7	7	4	3	2
